route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA8008530212005,9935,DUASN123597F01001-1_306007,"OPOC",0,
DUA8008530212005,9931,DUASN123593F01002-1_306008,"OPOC",0,
DUA8008530212005,9932,DUASN123403F03002-1_306009,"OPOC",0,
DUA8008530212005,9931,DUASN123401F01001-1_306010,"OPOC",0,
DUA8008530212005,9939,DUASN123407F01002-1_306011,"OPOC",0,
DUA8008530212005,9928,DUASN123409F01001-1_306012,"ODEA",0,
DUA8008530212005,9932,DUASN123401F01002-1_306013,"OPOC",0,
DUA8008530212005,9928,DUASN123427F01001-1_306014,"ODEA",0,
DUA8008530212005,9929,DUASN123429F01001-1_306015,"OPOC",0,
DUA8008530212005,9931,DUASN123403F03001-1_306016,"OPOC",0,
DUA8008530212005,9928,DUASN123423F01001-1_306017,"ODEA",0,
DUA8008530212005,9931,DUASN123459F01001-1_306018,"OPOC",0,
DUA8008530212005,9932,DUASN123455F01002-1_306019,"OPOC",0,
DUA8008530212005,9931,DUASN123457F01001-1_306020,"OPOC",0,
DUA8008530212005,9932,DUASN123457F01002-1_306021,"OPOC",0,
DUA8008530212005,9939,DUASN123449F01002-1_306022,"OPOC",0,
DUA8008530212005,9939,DUASN123429F01002-1_306023,"OPOC",0,
DUA8008530212005,9929,DUASN123407F01001-1_306024,"OPOC",0,
DUA8008530212005,9928,DUASN123453F01001-1_306025,"ODEA",0,
DUA8008530212005,9931,DUASN123455F01001-1_306026,"OPOC",0,
DUA8008530212005,9929,DUASN123587F01001-1_306027,"OPOC",0,
DUA8008530212005,9929,DUASN123531F01001-1_306028,"OPOC",0,
DUA8008530212005,9930,DUASN123531F01002-1_306029,"OPOC",0,
DUA8008530212005,9928,DUASN123507F01001-1_306030,"ODDA",0,
DUA8008530212005,8994,DUASN123529F01001-1_306031,"OPOC",0,
DUA8008530212005,9928,DUASN123527F01001-1_306032,"ODDA",0,
DUA8008530212005,8994,DUASN123523F01001-1_306033,"OPOC",0,
DUA8008530212005,9930,DUASN123573F01002-1_306034,"OPOC",0,
DUA8008530212005,9930,DUASN123517F01002-1_306035,"OPOC",0,
DUA8008530212005,9928,DUASN123521F01001-1_306036,"ODDA",0,
DUA8008530212005,9928,DUASN123535F01001-1_306037,"ODDA",0,
DUA8008530212005,9928,DUASN123513F01001-1_306038,"ODDA",0,
DUA8008530212005,9929,DUASN123559F01001-1_306039,"OPOC",0,
DUA8008530212005,9930,DUASN123559F01002-1_306040,"OPOC",0,
DUA8008530212005,8994,DUASN123515F01001-1_306041,"OPOC",0,
DUA8008530212005,9929,DUASN123503F01001-1_306042,"OPOC",0,
DUA8008530212005,9930,DUASN123503F01002-1_306043,"OPOC",0,
DUA8008530212005,9929,DUASN123517F01001-1_306044,"OPOC",0,
DUA8008530212005,8994,DUASN123509F01001-1_306045,"OPOC",0,
DUA8008530212005,9931,DUASN123605F01002-1_306046,"OPOC",0,
DUA8008530212005,9952,DUASN123607F01003-1_306047,"OPOC",0,
DUA8008530212005,8831,DUASN123615F01002-1_306048,"OPOC",0,
DUA8008530212005,8831,DUASN123609F01002-1_306049,"OPOC",0,
DUA8008530212005,9931,DUASN123607F01004-1_306050,"OPOC",0,
DUA8008530212005,9931,DUASN123589F01001-1_306051,"OPOC",0,
DUA8008530212005,9933,DUASN123589F01002-1_306052,"OPOC",0,
DUA8008530212005,9931,DUASN123597F01002-1_306053,"OPOC",0,
DUA8008530212005,9930,DUASN123587F01002-1_306054,"OPOC",0,
DUA8008530212005,9952,DUASN123605F01001-1_306055,"OPOC",0,
DUA8008530212005,9931,DUASN123601F01002-1_306056,"OPOC",0,
DUA8008530212005,9951,DUASN123603F01001-1_306057,"OPOC",0,
DUA8008530212005,9931,DUASN123603F01002-1_306058,"OPOC",0,
DUA8008530212005,9953,DUASN123599F01001-1_306059,"OPOC",0,
DUA8008530212005,8831,DUASN123611F01001-1_306060,"OPOC",0,
DUA8008530212005,8831,DUASN123613F01001-1_306061,"OPOC",0,
DUA8008530212005,9931,DUASN123599F01002-1_306062,"OPOC",0,
DUA8008530212005,9954,DUASN123601F01001-1_306063,"OPOC",0,
DUA8008530210009,9171,DUASN124015F02001-1_306064,"FOGI",0,
DUA8008530210009,9171,DUASN124011F01001-1_306065,"FOGI",0,
DUA8008530210009,9171,DUASN124013F01001-1_306066,"FOGI",0,
DUA8008530210009,9171,DUASN124037F01001-1_306067,"FOGI",0,
DUA8008530210009,9171,DUASN124023F02001-1_306068,"FOGI",0,
DUA8008530210009,9172,DUASN124005F01001-1_306069,"FOGI",0,
DUA8008530210009,9172,DUASN124001F01001-1_306070,"FOGI",0,
DUA8008530210009,9171,DUASN124029F01001-1_306071,"FOGI",0,
DUA8008530210009,9171,DUASN124027F02001-1_306072,"FOGI",0,
